time_local,turbine,time_utc,p10,p50,p90,curve,hours_ahead,lead_day,ws_mean,ws_spread,temp,icing_risk,issue_local
2026-02-01 00:00:00,T1,2026-01-31 18:00:00,0.0079,0.0153,0.1554,0.115,2.0,1,3.4517,3.885,-2.2167,0.0,2026-01-31 22:00:00
2026-02-01 00:00:00,T2,2026-01-31 18:00:00,0.0065,0.0146,0.1554,0.115,2.0,1,3.4517,3.885,-2.2167,0.0,2026-01-31 22:00:00
2026-02-01 00:00:00,ВЭС,2026-01-31 18:00:00,0.0072,0.0149,0.1554,0.115,2.0,1,3.4517,3.885,-2.2167,0.0,2026-01-31 22:00:00
2026-02-01 01:00:00,T1,2026-01-31 19:00:00,0.0087,0.0131,0.082,0.1,3.0,1,3.0683,3.645,-2.4,0.0,2026-01-31 22:00:00
2026-02-01 01:00:00,T2,2026-01-31 19:00:00,0.0065,0.0123,0.082,0.1,3.0,1,3.0683,3.645,-2.4,0.0,2026-01-31 22:00:00
2026-02-01 01:00:00,ВЭС,2026-01-31 19:00:00,0.0076,0.0127,0.082,0.1,3.0,1,3.0683,3.645,-2.4,0.0,2026-01-31 22:00:00
2026-02-01 02:00:00,T1,2026-01-31 20:00:00,0.0077,0.0158,0.0666,0.0835,4.0,1,2.7367,4.935,-2.4667,0.0,2026-01-31 22:00:00
2026-02-01 02:00:00,T2,2026-01-31 20:00:00,0.0053,0.015,0.0666,0.0835,4.0,1,2.7367,4.935,-2.4667,0.0,2026-01-31 22:00:00
2026-02-01 02:00:00,ВЭС,2026-01-31 20:00:00,0.0065,0.0154,0.0666,0.0835,4.0,1,2.7367,4.935,-2.4667,0.0,2026-01-31 22:00:00
2026-02-01 03:00:00,T1,2026-01-31 21:00:00,0.0079,0.0151,0.069,0.1,5.0,1,2.9817,6.56,-2.55,0.0,2026-01-31 22:00:00
2026-02-01 03:00:00,T2,2026-01-31 21:00:00,0.0053,0.0144,0.069,0.1,5.0,1,2.9817,6.56,-2.55,0.0,2026-01-31 22:00:00
2026-02-01 03:00:00,ВЭС,2026-01-31 21:00:00,0.0066,0.0148,0.069,0.1,5.0,1,2.9817,6.56,-2.55,0.0,2026-01-31 22:00:00
2026-02-01 04:00:00,T1,2026-01-31 22:00:00,0.0083,0.0142,0.0223,0.1275,6.0,1,3.7533,8.46,-2.7333,0.0,2026-01-31 22:00:00
2026-02-01 04:00:00,T2,2026-01-31 22:00:00,0.0057,0.0135,0.0223,0.1275,6.0,1,3.7533,8.46,-2.7333,0.0,2026-01-31 22:00:00
2026-02-01 04:00:00,ВЭС,2026-01-31 22:00:00,0.007,0.0138,0.0223,0.1275,6.0,1,3.7533,8.46,-2.7333,0.0,2026-01-31 22:00:00
2026-02-01 05:00:00,T1,2026-01-31 23:00:00,0.0096,0.011,0.1679,0.1511,7.0,1,4.28,9.795,-2.75,0.0,2026-01-31 22:00:00
2026-02-01 05:00:00,T2,2026-01-31 23:00:00,0.0078,0.0104,0.1672,0.1511,7.0,1,4.28,9.795,-2.75,0.0,2026-01-31 22:00:00
2026-02-01 05:00:00,ВЭС,2026-01-31 23:00:00,0.0087,0.0107,0.1676,0.1511,7.0,1,4.28,9.795,-2.75,0.0,2026-01-31 22:00:00
2026-02-01 06:00:00,T1,2026-02-01 00:00:00,0.01,0.01,0.2829,0.1964,8.0,1,5.0167,9.8,-2.7,0.0,2026-01-31 22:00:00
2026-02-01 06:00:00,T2,2026-02-01 00:00:00,0.0081,0.0115,0.2809,0.1964,8.0,1,5.0167,9.8,-2.7,0.0,2026-01-31 22:00:00
2026-02-01 06:00:00,ВЭС,2026-02-01 00:00:00,0.009,0.0107,0.2819,0.1964,8.0,1,5.0167,9.8,-2.7,0.0,2026-01-31 22:00:00
2026-02-01 07:00:00,T1,2026-02-01 01:00:00,0.003,0.01,0.3789,0.2753,9.0,1,6.2083,8.38,-2.7667,0.0,2026-01-31 22:00:00
2026-02-01 07:00:00,T2,2026-02-01 01:00:00,0.0026,0.0091,0.3754,0.2753,9.0,1,6.2083,8.38,-2.7667,0.0,2026-01-31 22:00:00
2026-02-01 07:00:00,ВЭС,2026-02-01 01:00:00,0.0028,0.0096,0.3771,0.2753,9.0,1,6.2083,8.38,-2.7667,0.0,2026-01-31 22:00:00
